"Carimbo de data/hora","Age","Gender","Level of musical knowledge","What is your field of work or study?","Did you imagine a story while listening?","It was easy to imagine a story","I imagined a vivid story","I imagined a story with clear setting, characters, events","I imagined a story while listening, not after","If you imagined a story while listening describe the story in detail.
If not, why didn't you imagine a story?","The music sounded familiar","I found the music enjoyable","In case you imagined a story:
The story imaged matches the one used to compose the music","The music matches the story's emotional tone","The music reflects the story's pacing","Story events are represented musically","The overall musical structure follows the narrative arc","Additional comments"
"2025/02/05 12:29:57 da tarde GMT","26","Female","No musical training","","Yes","5","2","1","2","At first, I was just enjoying the music. At the end, I started imaging a story that could match the music and I imagined a scene from a vintage film. Nothing really specific.","2","6","4","5","5","5","5",""
"2025/02/05 2:07:34 da tarde GMT","28","Male","Basic (some informal experience or less than 2 years of training)","Engineering or Computer Science","No","3","2","1","3","Instead of imagining a ""story"" at most I imagined the rhythm of the notes in my head. 
And how they interact between them.","4","4","4","4","4","3","4","By having the setting of a story for the music it was easier to imagine scenes, characters and the story itself."
"2025/02/05 3:15:23 da tarde GMT","25","Male","No musical training","Engineering or Computer Science","Yes","6","3","3","5","The music made me think about sort of an adventure/fantasy story.
The characters and environment would not be very cartoonish but also not realistic.
The story is along the lines of, a new adventurer sets out to explore a realm filled with magical creatures while meeting companions and receiving quests from others. ","6","6","4","6","6","6","6",""
"2025/02/05 4:17:56 da tarde GMT","23","Male","Basic (some informal experience or less than 2 years of training)","Engineering or Computer Science","No","2","1","1","1","I did not imagine a story, I simply heard the notes","2","3","","3","3","3","4","Besides the last part (3) of the story I don't think the music is very fitting for what's happening."
"2025/02/05 5:13:36 da tarde GMT","55","Male","Intermediate (2-5 years of formal training)","Engineering or Computer Science","Yes","3","2","1","5","The image that I was suggested was the busy traffic of a early XX century american city with cars on the street and people quickly moving on the sidewalks... I was a first impression from the start of the music.","4","5","2","3","3","2","3",""
"2025/02/05 9:06:43 da tarde GMT","27","Male","Basic (some informal experience or less than 2 years of training)","Other","No","1","1","1","1","i just focused on the melody in itself and on the rythm","4","6","3","4","2","4","2",""
"2025/02/06 10:12:08 da manhã GMT","25","Male","Basic (some informal experience or less than 2 years of training)","Engineering or Computer Science","No","3","1","1","1","I mildly imagined a green field as if for time passing but not a story with characters or events. ","4","4","3","3","3","3","2",""
"2025/02/06 10:57:39 da manhã GMT","23","Male","Basic (some informal experience or less than 2 years of training)","Literature, Theater, or Media","Yes","4","2","2","3","I felt that the music had like 4 phases , the starting I imagined that in the star we have an happy character, then, on the other phase, an sad person, in the middle they tried to have an ballence of energy between them and the last phase they found the ""relation harmony""","3","4","4","3","3","4","4",""
"2025/02/06 11:08:33 da manhã GMT","25","Female","Professional (music degree or professional experience)","Engineering or Computer Science","Yes","4","3","3","6","I imagined a little girl walking down a path. She was like Little Red Riding Hood when she goes to bring something to Grandma, just before the wolf arrives.","2","5","2","3","2","2","3","The transition to a lady helping the hero is barely noticeable, nor is the hero's success at the end reflected. It is true that there is a change to a minor in the middle, but the variations are so subtle that the narrative of the story is not perceived. It seems like the beginning of the story, but you expect more. I would almost say that it better describes the moment when the hero is assigned a task by the king, but has not yet undertaken the journey."
"2025/02/06 11:14:01 da manhã GMT","30","Female","Intermediate (2-5 years of formal training)","Engineering or Computer Science","Yes","2","2","3","2","Jumping along the forest path","3","2","5","5","5","4","4",""
"2025/02/06 12:11:25 da tarde GMT","34","Male","Advanced (more than 5 years of formal training)","Engineering or Computer Science","Yes","6","4","6","6","A bouncing little kid who meets something happy","4","6","5","5","5","4","5",""
"2025/02/06 2:09:15 da tarde GMT","40","Male","Professional (music degree or professional experience)","Other","Yes","5","5","2","6","Uncertain, perhaps worry at the start, then more playful at the end","5","3","4","4","5","5","5",""
"2025/02/06 2:59:35 da tarde GMT","29","Female","Advanced (more than 5 years of formal training)","Engineering or Computer Science","No","5","2","1","2","I imagined elements of a story (structure) but no details","5","5","4","6","2","4","2","In terms of structure, the theme at the end of the music corresponds (for me) to the mysterious woman and not the king, so it does not match perfectly, but it is close"
"2025/02/06 3:08:48 da tarde GMT","26","Male","No musical training","Engineering or Computer Science","Yes","3","4","3","4","No. I don't know why. ","5","3","3","4","4","3","5",""
"2025/02/06 3:10:49 da tarde GMT","24","Male","Advanced (more than 5 years of formal training)","Visual Arts, Music, or Design","No","1","1","1","1","Shity midi piano sound made me get frustrated with the music","4","1","","4","4","5","3","The music does not have any expression. No dynamics and the quality of the sound distracts me from imaginaning any kind of narrative. I belive that composotion should go further then ""just notes"""
